Timestamp;Наименование;"Синонимичные наименования
(Если несколько, пишите через запятую)";Семейство;Красная книга ;Есть ли ножка;"Размер ножки ОТ в мм (диаметр)
в ответ только число";"Размер ножки ДО в мм  (диаметр)
в ответ только число";Тип ножки ;"Цвет ножки
(Если несколько, пишите через запятую)"; Тип шляпки;"Цвет шляпки
(Если несколько, пишите через запятую)";Под шляпкой ;Описание гриба;"Двойники, если есть, то добавить в форму
(Если несколько, пишите через запятую)";Фотографии
10.30.2023 1:01:59;Подберёзовик;Подберёзовик обыкновенный, Берёзовик, Обабок, Обабок берёзовый;Болетовые;Нет;Да;20;30;Утолщенная внизу;Бело-серый, оливково-бурый;Выпуклая;Светло-серый, темно-коричневый;Гладкая;Подберёзовик произрастает с начала лета до поздней осени в лиственных (предпочтительно березовых) и смешанных лесах, в некоторые годы весьма обильно. В удивительных количествах встречается порой в еловых посадках с вкраплением березы. Дает хорошие урожаи и в совсем молодых березняках, появляясь там едва ли не первым среди промысловых грибов. Относится к съедобным грибам. У пожилых грибов трубчатый слой надо удалять.;Подберёзовик розовеющий, Желчный гриб, Подосиновик;https://drive.google.com/open?id=1QED5WnLQjdhl6eA4YlYRwmHBkuSMlofY
10.31.2023 2:34:24;Рядовка серая;Рядовка штриховатая, Рядовка странная, Подсосновик, Подзелёнка, Песочник серый, Серушка;Рядовковые;Нет;Да;15;25;Утолщенная в центре;Белая, сероватая, серовато-желтоватая, светло-лимонно-жетловатая;Выпуклая;Светло-серый, желтоватый, зеленоватый;Пластинчатая;Плодоносит с осени и вплоть до зимних морозов. При небольшом промерзании полностью восстанавливает вкусовые качества. Ранее указывалось, что Рядовка серая растёт преимущественно в южных регионах (Крым, Новороссийск, Мариуполь), однако её регион значительно шире, она встречается во всей умеренной зоне. Отмечена в Западной Сибири. Плодоносит неравномерно, часто большими группами. Хороший съедобный гриб, употребляется после термической обработки.;Рядовкой заострённая, Рядовка землисто-серая, Рядовка Гульден;https://drive.google.com/open?id=12RCQ6ysXw9BtloLkJXvlIAHJd5HLuRh5
10.31.2023 2:40:20;Рядовка землисто-серая;Мышата, Рядовка землистая, Рядовка напочвенная;Рядовковые;Нет;Да;15;20;Ровная;Белый;Выпуклая;Пепельно-серый, сероватый, мышино-серый, тёмно-серый, коричневато-серый;Пластинчатая;Поздний гриб. Распространён во всей умеренной зоне. Плодоносит с октября и вплоть до сильных морозов. В южных регионах, в частности, в Крыму, в тёплые зимы — до января, и даже в феврале-марте. В восточном Крыму в отдельные годы — в мае. До недавнего времени Рядовка землистая считалась хорошим съедобным грибом. «Мышата» в Крыму — один из самых распространённых и самых популярных, собираемых грибов, можно сказать, «кормилец». Их сушат, маринуют, солят, приготавливают в свежем виде. Однако в последние годы был проведен ряд исследований, показавших, что употребление землисто-серой рядовки может вызвать рабдомиолиз (миоглобинурия) — довольно сложный в диагностике и лечении синдром, представляющий собой крайнюю степень миопатии и характеризующийся разрушением клеток мышечной ткани, резким повышением уровня креатинкиназы и миоглобина, миоглобинурией, развитием острой почечной недостаточности.;Рядовка серая, Рядовка серебристая, Рядовка печальная, Рядовка тигровая;https://drive.google.com/open?id=16gweXJvLlTCoea0m4slV3s_l8Gw_FHgu
10.31.2023 2:47:03;Горькушка;Горькушка рыжая, Груздь горький, Горчак, Горянка;Сыроежковые;Нет;Да;10;20;Ровная;Белесоватый, розоватый, ржаво-красный;Вогнутая;Белесоватый, розоватый, ржаво-красный;Пластинчатая;Растет Горькушка в хвойных и смешанных лесах Европейской части России, предпочитая болотистую местность, мох и сосновые леса. Период плодоношения приходится на летние и осенние месяцы вплоть до ноября. Выдерживает заморозки до -5°C. Горькушка - условно-съедобный гриб, часто относят к четвертой категории. Этот гриб содержит антибиотическое вещество, отрицательно воздействующее на ряд бактерий, а также тормозящее рост культур золотистого стафилококка.;Камфорный груздь, Болотный груздь;https://drive.google.com/open?id=1mdJNl9yNFuzfojxz0wMB_yeug_oB8xmX
10.31.2023 2:52:10;Рядовка зелёная;Зеленушка, Зелёнка, Песочник зелёный;Рядовковые;Нет;Да;10;20;Утолщенная внизу;Жёлтый, зеленоватый;Выпуклая;Зеленовато-желтый, желто-оливковый, буроватый;Пластинчатая;Рядовка зелёная растет в основном в сухих сосновых лесах, иногда попадается и в смешанных на песчаной и супесчаной почве, встречается по одному и в группе по 5-8 штук. Может расти по соседству с похожей на него рядовкой серой. Наиболее часто попадается на открытой почве в сосновых борах, когда другие грибы уже закончили плодоношение, в период с сентября по ноябрь до самых заморозков. Гриб обычен в умеренной зоне Северного полушария. Рядовка зелёная относится к условно-съедобным грибам, заготавливается и употребляется в пищу в любом виде. ;Рядовка землисто-серая, Рядовка серая;https://drive.google.com/open?id=1VGhWDLTvBp34fp8VNSY4Z71M7SYp5eA3
10.31.2023 3:03:21;Белый гриб;Боровик, Белый гриб еловый, Жатник, Струень, Панг, Печура;Болетовые;Нет;Да;15;50;Утолщенная внизу;Белый, кремовый, светло-коричневый;Выпуклая;Лимонно-жёлтый, белый, охристый, грязно-жёлтый, жёлто-коричневый;Трубчатая;Белый гриб распространен по всей планете Земля. Единственное место, где он не отмечен – это Антарктида. Период плодоношения на территории стран СНГ с июня по ноябрь. Отмечаются случаи нахождения грибов в мае и декабре в регионах с боле тёплым климатом. Плодоносит так называемыми «волнами» (в начале июня, в середине июля, в августе и пр.). Первая волна, как правило, не слишком обильная, в то время как одна из последующих волн зачастую бывает несравнимо более урожайная, чем остальные. Это зависит от климатических и природных условий каждого конкретного региона. Растёт в хвойных, лиственных и смешанных лесах, образует микоризу с более чем 50 древесными породами, наиболее часто встречается в симбиозе с берёзой, елью, дубом, сосной, грабом, буком. Предпочитает не переувлажнённые суглинистые, супесчаные и песчаные почвы, поэтому в болотистых местах и на торфяниках расти не любит. Встречается одиночно, группами, большими группами.;Жёлчный гриб, Дубовик обыкновенный, Полубелый гриб, Белый гриб сетчатый;https://drive.google.com/open?id=1QbHxrrnGRNNfyKFPcgrSk37Rec0VRAmH
11.1.2023 3:30:21;Шампиньон обыкновенный;Шампиньон настоящий, Шампиньон луговой, Печерица;Шампиньоновые;Нет;Да;10;20;С юбкой;Буроватый, ржавый;Выпуклая;Коричневатый, белый, буроватый, розоватый;Пластинчатая;Шампиньон обыкновенный растет с самого конца мая до конца сентября на открытых пространствах с богатыми перегнойными почвами, особенно после дождей, на лугах, пастбищах, в садах, огородах, парках, около ферм, на окультуренных землях, около жилья, на улицах, в траве, реже на опушках леса, группами, кольцами, часто, ежегодно. Широко распространен. Вкусный, полезный, съедобный гриб 2 категории.;Бледная поганка, Белый мухомор, Рыжеющий шампиньон;https://drive.google.com/open?id=1ueJLky2AQJPnwI_7lpZ4-KnUuA0qQFKl
11.1.2023 3:44:18;Ложноопёнок серно-жёлтый;Опёнок серно-жёлтый;Строфариевые;Нет;Да;10;20;Ровная;Светло-желтый;Выпуклая;Желтоватый, желто-бурый, серно-желтый;Пластинчатая;Ложноопёнок серно-жёлтый повсеместно встречается с конца мая до поздней осени на гниющей древесине, на пнях и на земле около пней, иногда на стволах живых деревьев. Предпочитает лиственные породы, но изредка может встречаться и на хвойных. Как правило, растет большими группами. Ложноопёнок серно-жёлтый ядовит. При употреблении в пищу через 1-6 ч появляются тошнота, рвота, потливость, человек теряет сознание.;Опёнок серопластинчатый;https://drive.google.com/open?id=1DSkt54LXjKXZr3-HH5FNUaS2zDiAr0Aa
11.1.2023 3:50:46;Дубовик обыкновенный;Дубовик, Дубовик оливково-бурый, Поддубник, Синяк, Болет грязно-бурый;Болетовые;Нет;Да;30;60;Утолщенная внизу;Желтоватый, красноватый;Выпуклая;Желтовато-коричневый, серо-бурый;Трубчатая;Дубовик встречается повсеместно, но не особо часто, в лиственных и смешанных лесах, образуя микоризу с дубами и липами. По литературным данным, начинает расти уже в конце мая-начале июня, затем на время пропадает, чтобы появиться вновь в начале августа и стабильно плодоносить до конца сентября. Хороший съедобный гриб, быть может, похуже белого, но лучше большинства других.;Сатанинский гриб, Польский гриб, Польский гриб, Боровик ле Галь;https://drive.google.com/open?id=1gllnBBZ60gljiBLxA4V8SO2Mo5Kpppe5
11.1.2023 3:56:07;Гиропорус каштановый;Каштановый гриб, Каштановик, Заячий гриб;Гиропоровые;Нет;Да;8;30;Ровная;Красно-бурый;Ровная; Ржаво-бурый, красно-бурый, каштаново-бурый;Гладкая;Растет каштановый гриб с июля по ноябрь в лиственных и хвойных лесах. Чаще всего растет на песчаной почве в теплых сухих областях. Плодовые тела растут одиночно, разбросано. Малоизвестный съедобный гриб, но по вкусовым качествам его нельзя сравнить с Гиропорусом синеющим. При варке приобретает горьковатый вкус. При сушке горечь исчезает. Поэтому каштановик годится главным образом для сушки.;;https://drive.google.com/open?id=1JPdevho4jTg3YCsHck3ERh9A7gofPwpb
11.1.2023 4:01:34;Энтолома садовая;Розовопластинник щитовидный, Энтолома съедобная, Энтолома щитовидная, Энтолома щитковая, Энтолома терновниковая, Энтолома лесная, Подсливник, Подабрикосовик, Поджердельник;Энтоломовые;Нет;Да;10;20;Ровная; Беловатый, розоватый, сероватый;Выпуклая;Беловато-серый, бежеватый и серо-буроватый, серо-коричневый;Пластинчатая;"Энтолома садовая растет в лиственных и смешанных лесах под рябиной, березами и дубами – на богатой питательными веществами почве, вдоль дорог, на лугах, в садах и на городских газонах. В саду часто растет под плодовыми деревьями (яблоня и груша) и кустами розы, шиповника, боярышника и терновника.
Распространена и обычна на территории Ленинградской области и в Санкт- Петербурге, хотя и растет точечно – с последней пятидневки мая до конца июля с наиболее массовым плодоношением в июне и во влажное, прохладное лето – и в июле. Зачастую дает не один, а несколько коротких слоев. Энтолома садовая редко появляется в одиночку, обычно растет группами, нередко — большими. Это условно-съедобный гриб.
";Энтолома бледно-коричневая, Энтолома ядовитая, Энтолома продавленная;https://drive.google.com/open?id=1jdEbPAxNyJFYDknxkrBpaTZygE6Cosr_
11.13.2023 15:04:19;Подосиновик красный;Красноголовик, обабок, осиновик, лекцинум;Болетовые;Нет;Да;15;50;Утолщенная внизу;Серовато-белый;Выпуклая;Красный, оранжевый, буровато-красный;Трубчатая;Красноватая шляпка, коренастая ножка с серо-бурыми чешуйками и плотная мякоть - отличительные особенности подосиновика. Твердая губчатая мякоть становится темно синей при надавливании или срезе, а через некоторое время и вовсе чернеет. Все виды подосиновиков съедобны, практически не имеют запаха, по вкусовым качествам сравнимы с белыми грибами. Обнаружить плодовые тела, которые растут небольшими группками по 2-5 штук или поодиночке, можно как в смешанных, так и сосновых лесах в тени деревьев.;Перечный гриб;https://drive.google.com/open?id=1TfWmz27xy9mGrvv4wJaoHBSPmwMUdsVA, https://drive.google.com/open?id=1ISywXxaS79s_iWg1FckXP2OvALQarxN5
11.13.2023 15:41:57;Гиропорус синеющий;Болетус синеющий, синяк;Гиропоровые;Да;Да;10;30;Утолщенная в центре;Синий;Выпуклая;Синий;Трубчатая;Народное название «Синяк» точно передаёт поведение гриба при малейшем повреждении тканей, будь то разрез, разлом или просто прикосновение: он синеет. Изменение цвета происходит быстро и очень явно, что позволяет почти безошибочно отличить Гиропорус синеющий от других болетовых.;;https://drive.google.com/open?id=1nEeAqw7v5NenW1t4xtj_AxBMU5E7ybtq, https://drive.google.com/open?id=1WJvV3ACzatIesxmh5bQdfHSYKnWBQl3x
11.13.2023 15:50:32;Навозник белый;Чернильный гриб;Коприновые;Полусъедобен;Да;10;20;С юбкой;Белый;Выпуклая;Белый;Пластинчатая;"Шляпка высотой до 5—15, иногда до 20 см, 5—10 см в диаметре, у молодого гриба удлинённо-яйцевидная, потом узкоколокольчатая. Цвет белый, сероватый или коричневатый, на верхушке широкий коричневый бугорок. Поверхность густо покрыта волокнистыми чешуйками.

Мякоть белая, мягкая, тонкомясистая, без особого вкуса и запаха.

Пластинки свободные, широкие, очень частые. Цвет их у молодых грибов белый, затем снизу начинают розоветь, позже расплываются вместе со шляпкой в чёрную жидкость (автолиз), в которой присутствуют многочисленные споры.

Ножка 10—35 см высотой, 1—2 см в диаметре, центральная, цилиндрическая, белая, с шелковистым отливом, полая. В основании заметно луковицевидное утолщение.

Остатки покрывал: кольцо плёнчатое, очень нежное, подвижное, у молодых грибов белое, после начала автолиза окрашивается в чёрный цвет.

Споровый порошок чёрный, споры 12×8 мкм, эллипсоидальные, с порой.";;https://drive.google.com/open?id=1-BqR83LgZ36QUyhGry6MDhLCtnl0PbKi, https://drive.google.com/open?id=1yESOTLT1nz22H1bQOUmSEKZwBGaxT04X
11.13.2023 16:08:19;Маслёнок желто-бурый;Маслёнок пёстрый, моховик болотный, моховик песчаный, моховик желто-бурый, болотовик, пестрец;Масленковые;Нет;Да;20;35;Ровная;Лимонно-желтая, желто-бурая, оранжево-бурая, красноватая;Выпуклая;Серо-желтая,  серо-оранжевая,  буро-красноватая,  светло-охряная;Трубчатая;"Диаметр шляпки составляет 6—10 см, шляпка имеет полукруглую, выпуклую, в молодости с завёрнутым краем, позже подушковидную или плоскую форму, с волокнистыми чешуйками, цвет шляпки — оливковый, тёмно-жёлтый или серо-жёлтый, серо-оранжевый, позже охряно-бурый, буро-красноватый, светло-охряный. Во влажную погоду шляпка становится слегка клейкой. Кожица плохо отделяется от шляпки.

Мякоть желтоватая, жёлтая или светло-оранжевая, в основании ножки буроватая, на разрезе синеет, имеет приятный запах сосновой хвои и приятный вкус либо без вкуса. Иногда запах мякоти сравнивают с металлическим.

Трубчатый слой приросший у ножки, трубочки имеют жёлтый, светло-оранжевый, бурый или желтовато-оливковый цвет, поры коричневого цвета, мелкие, округлые, на срезе или при надавливании слегка синеют. Ножка 3—9 см высотой и 1,5—3,5 см толщиной, гладкая, цилиндрическая, цвет лимонно-жёлтый, серовато-жёлтый, иногда с красноватым оттенком или оранжево-бурая снизу.";;https://drive.google.com/open?id=1EK_8-Z1hVpDrZFK7bQ3evTRbXq4j0gGD, https://drive.google.com/open?id=10mtRwSmI6HJwAUPMwzQTQbLSARrEwtOJ
11.20.2023 22:59:17;Груздь Настоящий;Груздь белый, Груздь сырой, Груздь мокрый, Груздь правский;Сыроежковые;Нет;Да;20;50;Ровная;Белый, желтоватый;Вогнутая;Молочно-белый, желтоватый;Пластинчатая;Груздь встречается в лиственных и смешанных лесах (берёзовых, сосново-берёзовых, с липовым подлеском). Распространён в северных областях России, в Белоруссии, в Верхнем и Среднем Поволжье, на Урале, в Западной Сибири. Встречается нечасто, но обильно, растёт обычно большими группами. Относится к условно-съедобным грибам.;Скрипица, Груздь перечный, Груздь осиновый, Волнушка белая;https://drive.google.com/open?id=142pbA-LvJwH9n5CFDIcWUY4pzxOVki5S
11.20.2023 23:07:04;Мокруха пурпуровая;Мокруха слизистая, Мокруха блестящая, Мокруха желтоногая, Мокруха пурпурная, Мокруха сосновая, Желтоног медно-красный;Мокруховые;Нет;Да;15;25;Ровная;Желтоватый, бледно-оранжевый;Выпуклая;Желтоватый, оранжевый, медный, красноватый, пурпурно-красный, красновато-коричневый;Пластинчатая;Мокруха пурпуровая растет с начала августа до конца сентября в сосновых лесах и в лесах с примесью сосны. Может расти как в старых лесах, так и молодых посадках, на обочинах лесных дорог и опушках. Часто соседствует с маслёнком обыкновенным. Встречается одиночно или небольшими группами. Нормальный съедобный гриб. Необходимо предварительное отваривание, после чего пурпуровую мокруху можно жарить или мариновать. Рекомендуется снимать кожицу со шляпки.;Мокруха еловая, Мокруха розовая;https://drive.google.com/open?id=1QjVUPzXTEHw7RP1G8GgOk5J2P8D8YljY
11.20.2023 23:15:05;Трутовик серно-жёлтый;Куриный гриб, Гриб курица, Ведьмина сера, Кулына;Фомитопсисовые;Нет;Нет;;;;;Ровная;Бледно-желтый, оранжевый, розовато-оранжевый;Гладкая;Трутовик серно-желтый растет с середины мая до осени на остатках деревьев или на живых ослабленных деревьях лиственных пород. Первый слой (майско-июньский) наиболее обилен. В молодом возрасте съедобен, хотя вкус, надо отметить, «на любителя».;Мерипилус гигантский;https://drive.google.com/open?id=1l0GZM2z3VF18QFMO-UG9NxkWKg4KA_Ps
11.20.2023 23:19:38;Опёнок зимний;Фламмулина, Фламмулина бархатистоножковая, Коллибия бархатистоножковая, Зимний гриб;Физалакриевые;Нет;Да;5;8;Ровная;Желто-коричневый, медовый;Ровная;Желто-коричневый, медовый;Пластинчатая;Опёнок зимний  встречается поздней осенью и в начале зимы. Произрастает на валежнике и пнях, предпочитает лиственные деревья. При благоприятных условиях, может плодоносить весь зимний период. Хороший съедобный гриб.;Коллибия веретеноногая;https://drive.google.com/open?id=1s4G3kdoNMiAoKanDSGoXo0opgy5OFSO9
11.20.2023 23:24:36;Лисичка ложная;Говорушка оранжевая, Гигрофоропсис оранжевый, Кокошка;Гигрофоропсисовые;Полусъедобен;Да;5;10;Утолщенная вверху;Жёлто-оранжевый;Ровная;Оранжевый, жёлто-оранжевый, оранжево-коричневый;Пластинчатая;"Ложная лисичка обитает с начала августа до конца октября (массово с середины августа до последней декады сентября) в хвойных и смешанных лесах, на почве, подстилке, во мху, на гниющей древесине сосны и около нее, иногда возле муравейников, одиночно и большими группами, довольно часто, ежегодно.
Распространена по всей умеренной лесной зоне Европы, Азии.
Лисичка ложная долгое время считалась ядовитым грибом. Потом была перенесена в разряд «условно-съедобных». Сейчас многие микологи склонны считать её скорее слабоядовитой, чем съедобной, даже после предварительного отваривания не менее 15 минут. Пока медики и микологи не пришли к единому мнению на этот счёт, мы рекомендуем воздержаться от употребления этого гриба в пищу людям с повышенной чувствительностью к грибам: есть информация, что употребление ложной лисички может вызвать обострение гастроэнтерита.
";Лисичка обыкновенная, Ложная лисичка рыжая;https://drive.google.com/open?id=1Io179zRZWVoGVlzja-UShRz4g6j5N_pp
11.20.2023 23:29:11;Ежовик пёстрый;Ежовик черепитчатый, Ежовик чешуйчатый, Саркодон черепитчатый, Саркодон пёстрый;Банкеровые;Нет;Да;20;25;Ровная;Бурый, фиолетовый;Ровная;Бурый;Трубчатая;Ежовик пёстрый встречается в хвойных лесах время произрастания август — ноябрь. Достаточно редкий гриб, растет большими группами. Предпочитает сухие песчаные почвы. Распространен во всех лесных зонах, но не одинаково, местами вообще отсутствует, а местами образует круги. Гриб годится для употребления в пищу. Молодые грибы можно употреблять в любом виде, но вкуснее всего в жареном виде. Горьковатый вкус исчезает после отваривания. Ежовик пёстрый отличается необычным пряным запахом, поэтому не каждому он придется по вкусу. Чаще всего, его используют в качестве приправы в небольшом количестве.;Ежовик финский, Ежовик шероховатый;https://drive.google.com/open?id=1s2Vmiqta1r7Jx8gZ6xP8PtW6EQClvayh
